Region,Clusters + Singles
V1_fov,15 + 24
V1_non_fov,8 + 34
V2_fov,28 + 36
V2_non_fov,16 + 33
V3_fov,13 + 29
V3_non_fov,16 + 39
V4_fov,8 + 16
V4_non_fov,17 + 49
FFA_fov,3 + 2
FFA_non_fov,9 + 13
LOC_fov,6 + 11
LOC_non_fov,11 + 40
OPA_fov,4 + 4
OPA_non_fov,10 + 17
PPA_fov,12 + 5
PPA_non_fov,19 + 25
RSC_fov,9 + 10
RSC_non_fov,10 + 8
